Dorīmā	Seiki ?! _ Que fais-tu ici ? _ Tu as pris beaucoup de risques pour me sortir de là. __	Happy	1
Dorīmā	Ce qu’ils font ici, c’est horrible ! Nous devons partir au plus vite.	Ok	1
Voix inconnu	Pas si vite.	Question	1
Tekuno	Je m'appelle Tekuno et j’ai une mission à accomplir avant de sortir de cette maudite tour. 	Happy	1
Tekuno	Je suppose que tu as croisé ce bon vieux Raïdo en montant.	Ok	1
Tekuno	Et tu t’es porté volontaire pour qu’on la mène à bien ?	Ok	1
Tekuno	Très bien. Seulement il y a un problème. _	Question	1
Tekuno	J’ai besoin d’un cœur d’énergie afin de faire disjoncter la porte. 	Question	1
Tekuno	Ce dernier se trouve dans la salle de surveillance de la prison. C’est lui qui alimente tout l’étage, indépendamment du reste de la tour. 	Ok	1
Tekuno	Tu dois aller le chercher si tu veux ouvrir la porte.	Ok	1
Dorīmā	Je sais que tu es du genre entêté, alors je te souhaite bonne chance Seiki.	Happy	1
Tekuno	Je ramène les autres au QG, puis je t’attendrais caché prêt de la porte. _ Fais vite.	Ok	1